Mikrolet,-,M01G,Term. Kampung Melayu - Senen,Term. Kampung Melayu -- Jl. Jatinegara Barat -- Jl. Matraman Raya -- Jl. Salemba Raya -- Jl. Kramat Raya -- Jl. Senen Raya -- Jl. Dr. Wahidin -- Jl. Gunung Sahari -- Jl. Gunung Sahari I -- Term. Senen -- Kembali : Term. Senen -- Stasiun Senen -- Kramat Bunder -- Kramat Pulo -- Kramat Sentiong -- Salemba Raya -- Matraman Raya -- Jatinegara Timur -- Term. Kampung Melayu,Term. Kampung Melayu -- Jatinegara Timur -- Matraman Raya -- Salemba Raya -- Kramat Sentiong -- Kramat Pulo -- Kramat Bunder -- Stasiun Senen -- Stasiun Senen -- Kembali : Term. Senen -- Term. Senen -- Jl. Gunung Sahari I -- Jl. Gunung Sahari -- Jl. Dr. Wahidin -- Jl. Senen Raya -- Jl. Kramat Raya -- Jl. Salemba Raya -- Jl. Matraman Raya -- Jl. Jatinegara Barat -- Term. Kampung Melayu
Mikrolet,-,M02,Kampung Melayu - Pulo Gadung,Term. Kampung Melayu -- Jl. Pedati -- DI. Panjaitan -- Bekasi Timur -- Pisangan Lama -- Pisangan Lama II -- Pisangan Lama III -- Gading Raya -- Wisma Jaya -- Balai Pustaka TImur -- Jl. Waru -- Jl. Paus -- Balap Sepeda -- Kayu Putih Selatan -- Gudang Palad -- Raya Bekasi -- Term. Pulo Gadung,Term. Pulo Gadung -- Raya Bekasi -- Gudang Palad -- Kayu Putih Selatan -- Balap Sepeda -- Jl. Paus -- Jl. Waru -- Balai Pustaka TImur -- Wisma Jaya -- Gading Raya -- Pisangan Lama III -- Pisangan Lama II -- Pisangan Lama -- Bekasi Timur -- DI. Panjaitan -- Jl. Pedati -- Term. Kampung Melayu
Mikrolet,-,M03,Kampung Melayu - Komplek PWI,Term. Kampung Melayu -- Jatinegara Barat -- Matraman Raya -- Jatinegara Timur -- Otista Raya -- Otista III -- Putar By Pass -- Kebon Nanas -- Komplek PWI,Komplek PWI -- Kebon Nanas -- Putar By Pass -- Otista III -- Otista Raya -- Jatinegara Timur -- Matraman Raya -- Jatinegara Barat -- Term. Kampung Melayu
K W K,-,B04,Kalideres - Meruya Ilir,Term. Kalideres -- Jl. Semanan -- Kosambi -- Puri Kembangan -- Kebon Jeruk -- Meruya Ilir,Meruya Ilir -- Kebon Jeruk -- Puri Kembangan -- Kosambi -- Jl. Semanan -- Term. Kalideres
Mikrolet,-,M04,Cililitan - Rawasari,Term. Cililitan -- Sutoyo -- DI. Panjaitan -- Cipinang Besar -- Cipinang Raya -- Bekasi Timur -- Cip. Kebembem -- Pisangan III -- Gading Raya -- Balai Pustaka Barat -- Sunan Giri -- Kayu Jati -- Jl. Pondasi -- Jl. Bangunan -- Jl. H. Ten -- Prapatan Rawasari,Prapatan Rawasari -- Jl. H. Ten -- Jl. Bangunan -- Jl. Pondasi -- Kayu Jati -- Sunan Giri -- Balai Pustaka Barat -- Gading Raya -- Pisangan III -- Cip. Kebembem -- Bekasi Timur -- Cipinang Raya -- Cipinang Besar -- DI. Panjaitan -- Sutoyo -- Term. Cililitan
Bus Besar,A Perum PPD,11,Term. Blom M - Pejambon,Term. Blok M -- Kyai Maja -- Barito -- Velbak -- Pakubuwono -- Hang Lekir -- Jenderal Sudirman -- Imam Bonjol -- Diponegoro -- Salemba Raya -- Kramat Raya -- Kwini II -- Pejambon -- Dr. Sutomo -- Gunung Sahari -- Term. Senen,Term. Senen -- Gunung Sahari -- Dr. Sutomo -- Pejambon -- Kwini II -- Kramat Raya -- Salemba Raya -- Diponegoro -- Imam Bonjol -- Jenderal Sudirman -- Hang Lekir -- Pakubuwono -- Velbak -- Barito -- Kyai Maja -- Term. Blok M
K W K,-,S02,Pondok Labu - Srengseng,Pondok Labu -- Jl. Marga satwa -- Kampung Kandang -- Kavling Polri -- Jl. Paso -- Jl. Sagu -- Jl. Pepaya Raya -- Jl. Kedondong -- Jl. Raya Jagakarsa -- Lenteng Agung -- Srengseng Sawah,Srenseng Sawah -- Lenteng Agung -- Jl. Raya Jagakarsa -- Jl. Kedondong -- Jl. Pepaya Raya -- Jl. Sagu -- Jl. Paso -- Kavling Polri -- Kampung Kandang -- Jl. Margasatwa -- Pondok Labu
Angkutan Pengganti Bemo,-,JS01,Kemandoran - Mayestik,H AbdulRahman -- Kemandoran I - VIII -- Amatis I -- Boulevard Timur -- Permata Hijau -- Rawa Simprug I -- III - IV -- Kuburan Islam -- Kebayoran Lama -- Iskandar Muda -- Gandaria Baru Tengah I -- Bacang -- Jl Ahmad Dahlan -- Mayestik,Bacang -- Mayestik -- Jl Ahmad Dahlan -- Bacang Tengah I -- Gandaria Baru -- Iskandar Muda -- Kebayoran Lama -- Kuburan Islam III - IV -- Rawa Simprug I -- Permata Hijau -- Boulevard Timur -- Amatis I - VIII -- Kemandoran I -- H Abdul Rahman
Bus Besar,A Perum PPD,12,Blok M - Senen,Term. Blok M -- Jl. S. Mangaraja -- Jl. Jenderal Sudirman -- Jl. Mh. Thamrin -- Jl. Merdeka Barat -- Jl. Majapahit -- Jl. Ir. Juanda -- Jl. Gunung Sahari -- Term. Senen,Term. Senen -- Jl. Gunung Sahari -- Jl. Ir. Juanda -- Jl. Majapahit -- Jl. Merdeka Barat -- Jl. Mh. Thamrin -- Jl. Jenderal Sudirman -- Jl. S. Mangaraja -- Term. Blok M
Bus Besar,A Perum PPD,38,Rawamangun - Blok M,Term. Rawamangun -- Pegambiran -- Persahabatan -- Rawamangun Muka -- Utan Kayu -- Pramuka -- Matraman Raya -- Salemba Raya -- Diponegoro -- Imam Bonjol -- Jenderal Sudirman -- Hang Tuah -- Taman Puring -- Panglima Polim -- Term. Blok M,Term. Blok M -- Panglima Polim -- Taman Puring -- Hang Tuah -- Jenderal Sudirman -- Imam Bonjol -- Diponegoro -- Salemba Raya -- Matraman Raya -- Pramuka -- Utan Kayu -- Rawamangun Muka -- Persahabatan -- Pegambiran -- Term. Rawamangun
Bus Besar,A Perum PPD,41A,Kampung Rambutan - Dr. Sutomo,Term. Kampung Rambutan -- Jl. T. Simatupang -- Jl. Raya Bogor -- Jl. Sutoyo -- Jl. DI. Panjaitan -- Jl. A. Yani -- Jl. Suprapto -- Jl. Kramat Bandar -- Jl. Senen Raya -- Jl. Kwini II -- Jl. Pejambon -- Jl. Merdeka Timur -- Jl. Perwira -- Jl. Khatedral -- Jl. Pos -- Jl. Dr. Sutomo,Jl. Dr. Sutomo -- Jl. Pos -- Jl. Khatedral -- Jl. Perwira -- Jl. Merdeka Timur -- Jl. Pejambon -- Jl. Kwini II -- Jl. Senen Raya -- Jl. Kramat Bandar -- Jl. Suprapto -- Jl. A. Yani -- Jl. DI. Panjaitan -- Jl. Sutoyo -- Jl. Raya Bogor -- Jl. T. Simatupang -- Term. Kampung Rambutan
Bus Besar,A Perum PPD,43,Cililitan - Tanjung Priok,Term. Cililitan -- Jl. Sutoyo -- Jl. DI. Panjaitan -- Jl. A. Yani -- Jl. Yos Sudarso -- Jl. Enggano -- Term. Tanjung Priok,Term. Tanjung Priok -- Jl. Enggano -- Jl. Yos Sudarso -- Jl. A. Yani -- Jl. DI. Panjaitan -- Jl. Sutoyo -- Term. Cililitan
Bus Besar,A Perum PPD,45,Cililitan - Blok M,Term. Cililitan -- Jl Sutoyo -- Jl. MT. Haryono -- Jl. Gatot Subroto -- Jl. Kapten Tendean -- Jl. W. Mongonsidi -- Jl. Trunojoyo -- Term. Blok M,Term. Blok M -- Jl. Trunojoyo -- Jl. W. Mongonsidi -- Jl. Kapten Tendean -- Jl. Gatot Subroto -- Jl. MT. Haryono -- Jl Sutoyo -- Term. Cililitan
Bus Sedang,Metromini,S79,Blok M - Cinere,Term. Blok M -- Iskandarsyah -- Jl. Melawai -- Panglima Polim -- Rs. fatmawati -- Jl. Tarogong -- Pondok Indah -- Pasar Jumat -- Jl. Bona Indah -- Pangkalan Jati -- Cinere Kembali : -- Cinere -- Pangkalan Jati -- Bona Indah -- Ps. Jumat -- Pd. Indah -- Jl. Tarogong -- Rs. Fatmawati -- P. Polim -- Barito 2 -- Barito 1 -- Kyai Maja -- P. Polim -- Term. Blok M,Term. Blok M -- P. Polim -- Kyai Maja -- Barito 1 -- Barito 2 -- P. Polim -- Rs. Fatmawati -- Jl. Tarogong -- Pd. Indah -- Ps. Jumat -- Bona Indah -- Pangkalan Jati -- Cinere -- Cinere Kembali : -- Pangkalan Jati -- Jl. Bona Indah -- Pasar Jumat -- Pondok Indah -- Jl. Tarogong -- Rs. fatmawati -- Panglima Polim -- Jl. Melawai -- Iskandarsyah -- Term. Blok M
Bus Besar,A Perum PPD,46,Cililitan - Grogol,Term. Cililitan -- Jl. Sutoyo -- Jl. MT. Haryono -- Jl. Gatot Subroto -- Jl. S. Parman -- Jl. Kyai Tapa -- Term. Grogol,Term. Grogol -- Jl. Kyai Tapa -- Jl. S. Parman -- Jl. Gatot Subroto -- Jl. MT. Haryono -- Jl. Sutoyo -- Term. Cililitan
